Nr.,D,E,F,G,H,I,J,Sum,Qualified
2,-,-,-,-,-,-,-,-1,False
3,-,-,-,-,-,-,-,-1,False
4,0,1,0,0,3,0,0,4,False
5,-,-,-,-,-,-,-,-1,False
6,-,-,-,-,-,-,-,-1,False
7,4,0,0,0,0,0,2,6,False
8,-,-,-,-,-,-,-,-1,False
9,0,4,5,1,5,1,2,18,True
10,4,1,2,3,1,1,0,12,False
11,-,-,-,-,-,-,-,-1,False
12,-,-,-,-,-,-,-,-1,False
13,-,-,-,-,-,-,-,-1,False
14,-,-,-,-,-,-,-,-1,False
15,5,1,2,0,3,0,2,13,False
16,-,-,-,-,-,-,-,-1,False
17,-,-,-,-,-,-,-,-1,False
18,-,-,-,-,-,-,-,-1,False
19,-,-,-,-,-,-,-,-1,False
20,-,-,-,-,-,-,-,-1,False
21,0,0,1,0,2,0,4,7,False
24,-,-,-,-,-,-,-,-1,False
25,0,0,2,3,3,5,3,16,False
26,-,-,-,-,-,-,-,-1,False
28,-,-,-,-,-,-,-,-1,False
29,5,3,0,5,5,5,3,26,True
30,-,-,-,-,-,-,-,-1,False
31,-,-,-,-,-,-,-,-1,False
32,-,-,-,-,-,-,-,-1,False
34,-,-,-,-,-,-,-,-1,False
35,-,-,-,-,-,-,-,-1,False
36,-,-,-,-,-,-,-,-1,False
37,-,-,-,-,-,-,-,-1,False
38,-,-,-,-,-,-,-,-1,False
39,5,5,5,5,2,3,1,26,True
40,-,-,-,-,-,-,-,-1,False
41,1,5,5,5,2,3,2,23,True
42,-,-,-,-,-,-,-,-1,False
43,4,5,2,5,2,1,1,20,True
44,-,-,-,-,-,-,-,-1,False
45,-,-,-,-,-,-,-,-1,False
46,-,-,-,-,-,-,-,-1,False
47,0,0,4,0,5,0,2,11,False
48,-,-,-,-,-,-,-,-1,False
49,-,-,-,-,-,-,-,-1,False
50,5,4,0,3,5,0,0,17,True
51,-,-,-,-,-,-,-,-1,False
52,-,-,-,-,-,-,-,-1,False
53,-,-,-,-,-,-,-,-1,False
54,-,-,-,-,-,-,-,-1,False
55,-,-,-,-,-,-,-,-1,False
56,1,1,5,5,1,2,1,16,False
57,5,4,1,0,0,5,3,18,True
58,-,-,-,-,-,-,-,-1,False
59,-,-,-,-,-,-,-,-1,False
60,-,-,-,-,-,-,-,-1,False
61,-,-,-,-,-,-,-,-1,False
62,-,-,-,-,-,-,-,-1,False
63,-,-,-,-,-,-,-,-1,False
64,5,5,4,5,5,4,5,33,True
65,-,-,-,-,-,-,-,-1,False
66,-,-,-,-,-,-,-,-1,False
67,-,-,-,-,-,-,-,-1,False
68,-,-,-,-,-,-,-,-1,False
69,0,0,0,0,0,0,2,2,False
70,-,-,-,-,-,-,-,-1,False
71,-,-,-,-,-,-,-,-1,False
73,-,-,-,-,-,-,-,-1,False
74,-,-,-,-,-,-,-,-1,False
75,0,0,0,0,0,1,0,1,False
76,5,5,3,4,0,5,3,25,True
77,-,-,-,-,-,-,-,-1,False
78,0,0,3,0,0,4,3,10,False
79,-,-,-,-,-,-,-,-1,False
80,-,-,-,-,-,-,-,-1,False
81,-,-,-,-,-,-,-,-1,False
82,-,-,-,-,-,-,-,-1,False
83,-,-,-,-,-,-,-,-1,False
84,-,-,-,-,-,-,-,-1,False
85,-,-,-,-,-,-,-,-1,False
86,5,5,5,5,5,5,5,35,True
87,-,-,-,-,-,-,-,-1,False
88,-,-,-,-,-,-,-,-1,False
89,-,-,-,-,-,-,-,-1,False
90,0,3,2,5,5,5,5,25,True
91,-,-,-,-,-,-,-,-1,False
92,-,-,-,-,-,-,-,-1,False
93,0,0,0,1,0,3,0,4,False
94,0,3,4,0,1,1,4,13,False
95,-,-,-,-,-,-,-,-1,False
96,-,-,-,-,-,-,-,-1,False
98,-,-,-,-,-,-,-,-1,False
99,1,0,0,0,0,5,2,8,False
100,-,-,-,-,-,-,-,-1,False
101,-,-,-,-,-,-,-,-1,False
102,-,-,-,-,-,-,-,-1,False
103,-,-,-,-,-,-,-,-1,False
104,-,-,-,-,-,-,-,-1,False
105,5,5,5,5,5,1,5,31,True
106,-,-,-,-,-,-,-,-1,False
107,-,-,-,-,-,-,-,-1,False
108,-,-,-,-,-,-,-,-1,False
109,-,-,-,-,-,-,-,-1,False
