,Category,Value
1,Ausrichter,Tanzsportverband Schleswig-Holstein e.V.
2,Turnierleiter,Jes Christophersen Tanzsportfreunde Phoenix Lütjenburg
3,Beisitzer,Heinrich Dunker TSA d. TSV Glinde 1930
4,Protokoll,Henning Lange Tanzsportfreunde Phoenix Lütjenburg Daniel Randhawa Club Saltatio Hamburg Swen Rist Tanzclub Concordia Lübeck
5,Turnierbüro,John Alberts EDV-Team Peter Lorenzen TSA d. TSV Kronshagen 1924 Daniel Randhawa Club Saltatio Hamburg Swen Rist Tanzclub Concordia Lübeck Henning Lange Tanzsportfreunde Phoenix Lütjenburg
0,Date,20.01.2019
1,Title,DTV-Ranglistenturnier - Sen III S St - Glinde
2,Class,Sen.III S Standard
3,Nr. Rounds + Final,6
4,Nr. Adjudicators,7
5,Nr. Couples,102
