Nr.,Platz,Runde,Paar,Club,Leader,Follower
86,1.,Endrunde,Thomas Schmidt / Susanne Schmidt , Schwarz-Rot-Club Wetzlar,Thomas Schmidt,Susanne Schmidt 
64,2.,Endrunde,Knut Möller / Iris Möller , TTC Rot-Weiß Freiburg,Knut Möller,Iris Möller 
105,3.,Endrunde,Clemens Wießner-Drude / Nataly Wießner , Blau-Silber Berlin Tanzsportclub,Clemens Wießner-Drude,Nataly Wießner 
76,4.,Endrunde,Andreas Reumann / Annette Reumann , Tanz-Turnier-Club Elmshorn,Andreas Reumann,Annette Reumann 
29,5.,Endrunde,Nils Goral / Anja Goral , TSA im VfL Pinneberg,Nils Goral,Anja Goral 
90,6.,Endrunde,Michael Sipek / Susanne Sipek , TSC Metropol Hofheim,Michael Sipek,Susanne Sipek 
39,7.,4. Zwischenrunde,Stefan Jacob / Margit Stiebritz ,btc Grün-Gold der Turngemeinde in Berlin 1848,Stefan Jacob,Margit Stiebritz 
41,8.,4. Zwischenrunde,Dirk Keller / Heidemarie Schulz-Brüsewitz ,TSA d. Hamburger Sport-Verein,Dirk Keller,Heidemarie Schulz-Brüsewitz 
9,9.- 11.,4. Zwischenrunde,Götz Bierbaum / Maren Müller-Bierbaum ,TSC Savoy München,Götz Bierbaum,Maren Müller-Bierbaum 
43,9.- 11.,4. Zwischenrunde,Siegfried Klein / Maria Klein ,Tanzsportzentrum Stuttgart-Feuerbach,Siegfried Klein,Maria Klein 
57,9.- 11.,4. Zwischenrunde,Oliver Leonhardt / Andrea Leonhardt ,Schwarz-Weiß-Club Pforzheim,Oliver Leonhardt,Andrea Leonhardt 
50,12.,4. Zwischenrunde,Heinz-Jürgen Kühl / Jutta Kühl ,Tanz-Turnier-Club Savoy Norderstedt,Heinz-Jürgen Kühl,Jutta Kühl 
25,13.- 14.,3. Zwischenrunde,Dr. Jürgen Flimm / Christine Flimm ,SSV Neuhaus,Dr. Jürgen Flimm,Christine Flimm 
56,13.- 14.,3. Zwischenrunde,Roland Lein / Dr. Karin Anton ,TC Rot-Gold Würzburg,Roland Lein,Dr. Karin Anton 
15,15.- 16.,3. Zwischenrunde,Jürgen Buttkus / Birgit Buttkus ,1. TC Heidenheim d. SV Mergelstetten,Jürgen Buttkus,Birgit Buttkus 
94,15.- 16.,3. Zwischenrunde,Rudi Stern / Heidi Stern ,TC Rot-Gold Würzburg,Rudi Stern,Heidi Stern 
10,17.,3. Zwischenrunde,Peter Birndorfer / Christina Pothfelder ,TSA d. TSV Unterhaching 1910,Peter Birndorfer,Christina Pothfelder 
47,18.,3. Zwischenrunde,Michael Krist / Petra Krist ,Tanzsport-Club Alemana Puchheim,Michael Krist,Petra Krist 
78,19.,3. Zwischenrunde,Dr. Torge Rieper / Dr. Gisela Rieper ,Uni Tanz Kiel,Dr. Torge Rieper,Dr. Gisela Rieper 
99,20.,3. Zwischenrunde,Thomas Voß / Christine Voß ,Tanzen in Kiel,Thomas Voß,Christine Voß 
21,21.,3. Zwischenrunde,Günter Enk / Annette Enk ,TC Royal Oberhausen,Günter Enk,Annette Enk 
7,22.,3. Zwischenrunde,Dirk Bendrin / Martina Bendrin ,Grün-Gold-Club Bremen,Dirk Bendrin,Martina Bendrin 
4,23.- 24.,3. Zwischenrunde,Dr. Gerhard Baier / Ingrid Cloos-Baier ,TC Brillant Berlin,Dr. Gerhard Baier,Ingrid Cloos-Baier 
93,23.- 24.,3. Zwischenrunde,Horst Stepuhn / Kerstin Stepuhn ,TD Tanzsportclub Düsseldorf Rot-Weiß,Horst Stepuhn,Kerstin Stepuhn 
69,25.,3. Zwischenrunde,Olaf Petermann / Romy Groh-Petermann ,TTC Carat Berlin,Olaf Petermann,Romy Groh-Petermann 
75,26.,3. Zwischenrunde,Thomas Resch / Susanne Schade ,TTC Harburg im HTB von 1865,Thomas Resch,Susanne Schade 
59,27.- 28.,2. Zwischenrunde,Ulrich Lindecke / Manuela Schulze ,TTC Carat Berlin,Ulrich Lindecke,Manuela Schulze 
68,27.- 28.,2. Zwischenrunde,Andreas Pabst / Christine Pabst ,TSA d. Braunschweiger MTV von 1847,Andreas Pabst,Christine Pabst 
19,29.- 30.,2. Zwischenrunde,Sergio Dodaro / Francesca D'Aviri ,TSA d. MTV Vorsfelde 1862,Sergio Dodaro,Francesca D'Aviri 
61,29.- 30.,2. Zwischenrunde,Jürgen Lüders / Karin Lüders ,TC Royal Oberhausen,Jürgen Lüders,Karin Lüders 
26,31.,2. Zwischenrunde,Marek Fuchs / Dorit Fuchs ,"TSZ Blau-Gold Casino, Darmstadt",Marek Fuchs,Dorit Fuchs 
36,32.- 33.,2. Zwischenrunde,Jörg Holzhäuser / Petra Holzhäuser ,Tanz-Sport-Club Fischbach,Jörg Holzhäuser,Petra Holzhäuser 
74,32.- 33.,2. Zwischenrunde,Rainer Quenzel / Astrid Quenzel ,Tanz Sport Club in Hannover,Rainer Quenzel,Astrid Quenzel 
37,34.,2. Zwischenrunde,Thomas Horn / Rosita Boose ,TC Schwarz-Silber Halle,Thomas Horn,Rosita Boose 
60,35.,2. Zwischenrunde,Helmut Lindmair / Diana Stüber ,TC Schwarz-Rot Neuruppin,Helmut Lindmair,Diana Stüber 
16,36.- 38.,2. Zwischenrunde,Ingolf Dähnert / Gabriele Dähnert ,TSA im Moritzburger Sportverein 1990,Ingolf Dähnert,Gabriele Dähnert 
38,36.- 38.,2. Zwischenrunde,Siegbert Hübner / Annette Hübner ,Uni Tanz Kiel,Siegbert Hübner,Annette Hübner 
101,36.- 38.,2. Zwischenrunde,Thomas Weyland / Ines Weyland ,Tanzclub Zerbst,Thomas Weyland,Ines Weyland 
80,39.,2. Zwischenrunde,Klaus Rose / Astrid Rose ,Turniertanz im Ostseetanz Greifswald,Klaus Rose,Astrid Rose 
35,40.- 41.,2. Zwischenrunde,Peter Helmer / Karola Helmer ,TC Rot-Weiß Leipzig,Peter Helmer,Karola Helmer 
73,40.- 41.,2. Zwischenrunde,Jens-Uwe Pohl / Simone Szupkai ,btc Grün-Gold der Turngemeinde in Berlin 1848,Jens-Uwe Pohl,Simone Szupkai 
51,42.- 43.,2. Zwischenrunde,Holger Kursawe / Ursula Rübcke ,Club Céronne im ETV Hamburg,Holger Kursawe,Ursula Rübcke 
67,42.- 43.,2. Zwischenrunde,Robert Nicklas / Elisabeth Nicklas ,Tanzsportgemeinschaft Fürth,Robert Nicklas,Elisabeth Nicklas 
84,44.,2. Zwischenrunde,Norbert Schade / Arne-Marina Schade ,TC Brillant Berlin,Norbert Schade,Arne-Marina Schade 
2,45.- 49.,2. Zwischenrunde,Francesco Allegrino / Agata Di Paola ,TSA d. MTV Vorsfelde 1862,Francesco Allegrino,Agata Di Paola 
48,45.- 49.,2. Zwischenrunde,Andreas Krüger / Dr. Heidi Koithan ,Tanz-Turnier-Club Savoy Norderstedt,Andreas Krüger,Dr. Heidi Koithan 
55,45.- 49.,2. Zwischenrunde,Thomas Ledebuhr / Ivonne Pool ,Tanzsportgemeinschaft Nordhorn,Thomas Ledebuhr,Ivonne Pool 
71,45.- 49.,2. Zwischenrunde,Uwe Pietschmann / Rita Pietschmann ,TD Tanzsportclub Düsseldorf Rot-Weiß,Uwe Pietschmann,Rita Pietschmann 
100,45.- 49.,2. Zwischenrunde,Heiko Wehr / Dr. Sabine Wehr ,TTC Rot-Weiß Freiburg,Heiko Wehr,Dr. Sabine Wehr 
89,50.- 51.,1. Zwischenrunde,Bernd Schulze / Dr. Heike Schulze ,"Turniertanzkreis Am Bürgerpark, Berlin",Bernd Schulze,Dr. Heike Schulze 
109,50.- 51.,1. Zwischenrunde,Holger Zinn / Karin Zinn ,TSC Casino Oberalster Hamburg,Holger Zinn,Karin Zinn 
102,52.,1. Zwischenrunde,Andreas Wieck / Karin Wieck ,Turniertanz im Ostseetanz Greifswald,Andreas Wieck,Karin Wieck 
53,53.- 54.,1. Zwischenrunde,Jens Langmann / Ellen Langmann ,Grün-Gold TTC Herford,Jens Langmann,Ellen Langmann 
54,53.- 54.,1. Zwischenrunde,Karlheinz Lappe / Beatrice Grünzig ,Club Céronne im ETV Hamburg,Karlheinz Lappe,Beatrice Grünzig 
63,55.- 56.,1. Zwischenrunde,Frank Mahrt / Hilke Mahrt ,Tanz-Turnier-Club Savoy Norderstedt,Frank Mahrt,Hilke Mahrt 
92,55.- 56.,1. Zwischenrunde,Karsten Söllner / Anett Söllner ,Tanzsportclub Casino Dresden,Karsten Söllner,Anett Söllner 
32,57.- 61.,1. Zwischenrunde,Michael Hackner / Manuela Treindl ,Tanzsportgemeinschaft Fürth,Michael Hackner,Manuela Treindl 
40,57.- 61.,1. Zwischenrunde,Jörg Jasch / Nadja Theus ,Blau-Weiss Berlin,Jörg Jasch,Nadja Theus 
49,57.- 61.,1. Zwischenrunde,Jürgen Kuberczyk / Birte Kuberczyk ,Imperial-Club Hamburg,Jürgen Kuberczyk,Birte Kuberczyk 
77,57.- 61.,1. Zwischenrunde,Wolfgang Riedl / Petra Riedl ,Kitzinger TC,Wolfgang Riedl,Petra Riedl 
103,57.- 61.,1. Zwischenrunde,Norbert Wiedemann / Petra Wiedemann ,Tanzsportgemeinschaft Fürth,Norbert Wiedemann,Petra Wiedemann 
31,62.- 63.,1. Zwischenrunde,Bernd Grzelachowski / Birgit Grzelachowski ,Tanz-Club Schwarz-Gold Bad Gandersheim,Bernd Grzelachowski,Birgit Grzelachowski 
42,62.- 63.,1. Zwischenrunde,Hans-Jürgen Klatt / Susanne Klatt ,TSA Grün-Gold d. SV Motor Eberswalde,Hans-Jürgen Klatt,Susanne Klatt 
13,64.- 66.,1. Zwischenrunde,Thomas Bressau / Katrin Bressau ,1. TC Winsen im TSV Winsen von 1850,Thomas Bressau,Katrin Bressau 
28,64.- 66.,1. Zwischenrunde,Thomas Göpfert / Katja Göpfert ,TG Saphir Chemnitz,Thomas Göpfert,Katja Göpfert 
107,64.- 66.,1. Zwischenrunde,Hagen Winterfeldt / Katrin Winterfeldt ,TSA im TSV Schönwalde 03,Hagen Winterfeldt,Katrin Winterfeldt 
3,67.- 68.,1. Zwischenrunde,Theodor Arlt / Margarete Arlt ,TSC Rot-Weiss Viernheim,Theodor Arlt,Margarete Arlt 
8,67.- 68.,1. Zwischenrunde,Thomas Benthien / Anke Benthien ,TSA d. 1. SC Norderstedt,Thomas Benthien,Anke Benthien 
17,69.,1. Zwischenrunde,Horst Degen / Karin Degen ,TSC Achern,Horst Degen,Karin Degen 
34,70.,1. Zwischenrunde,Benno Heissig / Marion Heissig ,TSC Castell Lippstadt,Benno Heissig,Marion Heissig 
30,71.,1. Zwischenrunde,Kristian Grünwald / Silvia Grünwald ,TSA im VfL Bad Nenndorf,Kristian Grünwald,Silvia Grünwald 
96,72.,1. Zwischenrunde,Stephan Vogel / Ute Retzlaff ,TTC Carat Berlin,Stephan Vogel,Ute Retzlaff 
91,73.,1. Zwischenrunde,Anatoly Sokolov / Antje Pilars de Pilar ,TSC Blau-Gold-Rondo Bonn,Anatoly Sokolov,Antje Pilars de Pilar 
