Nr.,Platz,Runde,Paar,Club,Leader,Follower
5,74.,1. Zwischenrunde,Hubert Bartzik / Beate Bartzik ,Tanz-Club Tusculum Einbeck,Hubert Bartzik,Beate Bartzik 
6,75.- 76.,Vorrunde,Jürgen Bäumer / Irina Weinberger ,Tanzsportzentrum Rheine,Jürgen Bäumer,Irina Weinberger 
11,75.- 76.,Vorrunde,Kai Uwe Bormann / Anja Mareike Bormann ,Tanz Akademie Berlin,Kai Uwe Bormann,Anja Mareike Bormann 
14,77.- 80.,Vorrunde,Peter Bruntsch / Ines Bruntsch ,TSC Sängerstadt Finsterwalde,Peter Bruntsch,Ines Bruntsch 
44,77.- 80.,Vorrunde,Jürgen Kleinhans / Karin Kleinhans ,Braunschweig Dance Company,Jürgen Kleinhans,Karin Kleinhans 
83,77.- 80.,Vorrunde,Jörg Saalmann / Kerstin Kobluhn ,TC Royal Oberhausen,Jörg Saalmann,Kerstin Kobluhn 
85,77.- 80.,Vorrunde,Heiko Schlage / Bettina Schlage ,Tanzsportklub Residenz Dresden,Heiko Schlage,Bettina Schlage 
58,81.- 82.,Vorrunde,Dr. Manfred Lerch / Andrea Lerch ,1. TC Heidenheim d. SV Mergelstetten,Dr. Manfred Lerch,Andrea Lerch 
82,81.- 82.,Vorrunde,Thomas Runkewitz / Ewa Runkewitz ,TSA Der Ring Rheine d. RHTC 1901,Thomas Runkewitz,Ewa Runkewitz 
46,83.- 86.,Vorrunde,Heinrich Kreilein / Marion Kreilein ,TSC Schwarz-Gold d. ASC Göttingen 1846,Heinrich Kreilein,Marion Kreilein 
87,83.- 86.,Vorrunde,Gunnar Schramm / Ute Hamann ,TanzCentrum Gold und Silber Bremen,Gunnar Schramm,Ute Hamann 
104,83.- 86.,Vorrunde,Torsten Wierczoch / Anja von dem Knesebeck-Wierczoch ,Grün-Gold-Club Bremen,Torsten Wierczoch,Anja von dem Knesebeck-Wierczoch 
106,83.- 86.,Vorrunde,Dietmar Wilstermann / Andrea Wilstermann ,Tanz Sport Club in Hannover,Dietmar Wilstermann,Andrea Wilstermann 
45,87.- 88.,Vorrunde,Bernd Kölbel / Sabine Wengel ,Tanzsportclub Lausitz Cottbus,Bernd Kölbel,Sabine Wengel 
79,87.- 88.,Vorrunde,Harald Ries / Antonie Ries ,TSA d. TG Biberach 1847,Harald Ries,Antonie Ries 
20,89.- 90.,Vorrunde,Gerhard Endres / Ute Endres ,"Tanzsportclub Rhythmus, Bamberg",Gerhard Endres,Ute Endres 
88,89.- 90.,Vorrunde,Rainer Schubert / Kerstin Schubert ,"Turniertanzkreis Am Bürgerpark, Berlin",Rainer Schubert,Kerstin Schubert 
62,91.- 93.,Vorrunde,Wolfgang Lukas / Sabine Lukas ,Tanzen in Kiel,Wolfgang Lukas,Sabine Lukas 
66,91.- 93.,Vorrunde,Thomas Mühlhausen / Anja Mühlhausen ,Flensburger TC,Thomas Mühlhausen,Anja Mühlhausen 
108,91.- 93.,Vorrunde,Andreas Wörmke / Brigitte Wörmke ,TSA des Ahrensburger TSV v. 1874,Andreas Wörmke,Brigitte Wörmke 
12,94.,Vorrunde,Helmut Bresch / Angelika Nothdurft ,Tanzsportclub Grün-Weiß Braunschweig,Helmut Bresch,Angelika Nothdurft 
18,95.- 99.,Vorrunde,Bernd Dirschauer / Annette Dirschauer ,TSA d. VfL Geesthacht,Bernd Dirschauer,Annette Dirschauer 
24,95.- 99.,Vorrunde,Frank Fleschner / Marina Fleschner ,1. TSC Frankfurt/Oder,Frank Fleschner,Marina Fleschner 
52,95.- 99.,Vorrunde,Ulrich Kyas / Birgit Spletzer-Kyas ,VTG Grün-Gold Recklinghausen,Ulrich Kyas,Birgit Spletzer-Kyas 
65,95.- 99.,Vorrunde,Klaus-Ulrich Mosel / Ruth Berg-Mosel ,Askania - TSC Berlin,Klaus-Ulrich Mosel,Ruth Berg-Mosel 
81,95.- 99.,Vorrunde,Dr. Günther Roßmann / Claudia Weber ,btc Grün-Gold der Turngemeinde in Berlin 1848,Dr. Günther Roßmann,Claudia Weber 
98,100.,Vorrunde,Ulrich Voosholz / Inge Frönd ,TSC Ems-Casino Blau-Gold Greven,Ulrich Voosholz,Inge Frönd 
70,101.,Vorrunde,Bernd Pförtner / Gerlinde Pförtner ,Tanzsportclub Schneverdingen,Bernd Pförtner,Gerlinde Pförtner 
95,102.,Vorrunde,Matthias Sternberg / Iris Sternberg ,Tanzsportclub Dortmund,Matthias Sternberg,Iris Sternberg 
