Nr.,D,E,F,G,H,I,J,Sum,Qualified
2,0,1,0,0,0,1,0,2,False
3,-,-,-,-,-,-,-,-1,False
4,0,4,2,5,4,3,0,18,True
5,-,-,-,-,-,-,-,-1,False
6,-,-,-,-,-,-,-,-1,False
7,5,5,0,0,2,3,3,18,True
8,-,-,-,-,-,-,-,-1,False
9,5,5,5,5,5,5,4,34,True
10,4,0,4,5,3,1,3,20,True
11,-,-,-,-,-,-,-,-1,False
12,-,-,-,-,-,-,-,-1,False
13,-,-,-,-,-,-,-,-1,False
14,-,-,-,-,-,-,-,-1,False
15,5,0,4,1,5,0,1,16,True
16,4,0,1,0,0,0,3,8,False
17,-,-,-,-,-,-,-,-1,False
18,-,-,-,-,-,-,-,-1,False
19,5,0,0,1,5,0,3,14,False
20,-,-,-,-,-,-,-,-1,False
21,5,4,4,5,5,3,5,31,True
24,-,-,-,-,-,-,-,-1,False
25,0,4,5,5,5,5,4,28,True
26,5,2,1,1,1,0,2,12,False
28,-,-,-,-,-,-,-,-1,False
29,5,5,5,5,5,5,5,35,True
30,-,-,-,-,-,-,-,-1,False
31,-,-,-,-,-,-,-,-1,False
32,-,-,-,-,-,-,-,-1,False
34,-,-,-,-,-,-,-,-1,False
35,0,4,0,0,0,1,1,6,False
36,0,4,2,5,0,0,0,11,False
37,4,1,1,0,2,0,2,10,False
38,0,0,1,2,0,5,0,8,False
39,5,5,5,5,5,3,4,32,True
40,-,-,-,-,-,-,-,-1,False
41,5,5,0,5,5,3,1,24,True
42,-,-,-,-,-,-,-,-1,False
43,5,4,3,5,5,1,4,27,True
44,-,-,-,-,-,-,-,-1,False
45,-,-,-,-,-,-,-,-1,False
46,-,-,-,-,-,-,-,-1,False
47,0,3,5,2,5,3,5,23,True
48,0,0,0,0,1,0,1,2,False
49,-,-,-,-,-,-,-,-1,False
50,5,4,0,5,5,4,2,25,True
51,3,0,0,0,0,1,1,5,False
52,-,-,-,-,-,-,-,-1,False
53,-,-,-,-,-,-,-,-1,False
54,-,-,-,-,-,-,-,-1,False
55,0,0,1,0,0,0,1,2,False
56,4,0,5,5,4,4,1,23,True
57,5,5,5,5,5,5,4,34,True
58,-,-,-,-,-,-,-,-1,False
59,2,0,4,4,2,2,1,15,False
60,0,1,1,0,2,1,4,9,False
61,0,5,5,0,3,0,1,14,False
62,-,-,-,-,-,-,-,-1,False
63,-,-,-,-,-,-,-,-1,False
64,5,5,5,5,5,4,4,33,True
65,-,-,-,-,-,-,-,-1,False
66,-,-,-,-,-,-,-,-1,False
67,0,2,3,0,0,0,0,5,False
68,0,3,1,3,2,5,1,15,False
69,0,4,3,0,0,5,4,16,True
70,-,-,-,-,-,-,-,-1,False
71,0,0,1,0,0,0,1,2,False
73,3,0,2,0,0,0,1,6,False
74,2,0,0,2,0,5,2,11,False
75,5,1,3,0,3,5,0,17,True
76,5,4,5,5,1,5,5,30,True
77,-,-,-,-,-,-,-,-1,False
78,0,0,5,0,1,5,5,16,True
79,-,-,-,-,-,-,-,-1,False
80,0,5,0,0,0,0,2,7,False
81,-,-,-,-,-,-,-,-1,False
82,-,-,-,-,-,-,-,-1,False
83,-,-,-,-,-,-,-,-1,False
84,0,2,0,0,1,0,1,4,False
85,-,-,-,-,-,-,-,-1,False
86,5,4,5,5,5,5,5,34,True
87,-,-,-,-,-,-,-,-1,False
88,-,-,-,-,-,-,-,-1,False
89,-,-,-,-,-,-,-,-1,False
90,1,4,5,5,5,5,5,30,True
91,-,-,-,-,-,-,-,-1,False
92,-,-,-,-,-,-,-,-1,False
93,0,5,0,5,0,5,2,17,True
94,3,4,5,4,5,4,3,28,True
95,-,-,-,-,-,-,-,-1,False
96,-,-,-,-,-,-,-,-1,False
98,-,-,-,-,-,-,-,-1,False
99,5,1,0,5,0,5,5,21,True
100,0,0,0,0,1,0,1,2,False
101,0,0,3,0,2,0,3,8,False
102,-,-,-,-,-,-,-,-1,False
103,-,-,-,-,-,-,-,-1,False
104,-,-,-,-,-,-,-,-1,False
105,5,5,5,5,5,3,4,32,True
106,-,-,-,-,-,-,-,-1,False
107,-,-,-,-,-,-,-,-1,False
108,-,-,-,-,-,-,-,-1,False
109,-,-,-,-,-,-,-,-1,False
