TopTurnier urls,base url,crawl date
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2021/TSK_111221/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2014/TSK_220214/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2018/TSK_271018/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2016/TSK_291016/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2022/22-03-19_TSK_TnwPokal/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2014/TSK_230214/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2015/TSK_281115/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2022/22-08-07_TSK_Sommerturniere_sen/,https://www.tanzsportkreis-sankt-augustin.de,
https://ergebnisse.tanzsportkreis-sankt-augustin.de/2015/TSK_220215/,https://www.tanzsportkreis-sankt-augustin.de,
https://www.tanzsport.de/files/tanzsport/ergebnisse/2019/3le-sen1sstd/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
https://ergebnisse.dancecomp.de/2022/28-0207_wdsfopenstdsen3/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
https://www.tanzsport.de/files/tanzsport/ergebnisse/2022/dm_hgrsstd/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
https://www.tanzsport.de/files/tanzsport/ergebnisse/2019/glinde-sen3sstd/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
https://www.gruen-weiss-aachen.de/files/ergebnisse/2023/2023-06-3le/3-1706_rl_hgrslat/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
https://www.tanzsport.de/files/tanzsport/ergebnisse/2019/g55-2/index.htm,https://www.tanzsport.de/de/sportwelt/ergebnisse,2023-07-20
