,Category,Value
1,Ausrichter,Bielefelder TC Metropol
2,Turnierleiter,"Reichling, Daniel TSC Brühl im BTV 1879"
3,Beisitzer,"Münster, Ivo TTC Rot-Gold Köln"
4,Chairperson,"Sónyi, Markus Grün-Gold-Casino Wuppertal"
5,Protokoll,"Kirsten, Mario Tanzsportgemeinschaft Bünde Knoche, André Bielefelder TC Metropol"
0,Date,11.05.2022
1,Title,Deutsche Meisterschaft Standard - Bielefeld
2,Class,Hgr. S Standard
3,Nr. Rounds + Final,4
4,Nr. Adjudicators,9
5,Nr. Couples,39
