Nr.,A,B,C,D,E,F,G,H,I,Sum,Qualified
1,5,0,0,4,2,5,0,1,0,17,False
2,2,5,1,0,3,1,2,5,5,24,True
4,-,-,-,-,-,-,-,-,-,-1,False
5,-,-,-,-,-,-,-,-,-,-1,False
6,5,5,5,4,5,5,3,5,5,42,True
7,1,3,2,5,0,3,0,3,4,21,True
8,-,-,-,-,-,-,-,-,-,-1,False
9,0,0,0,0,1,0,5,0,0,6,False
13,5,5,5,5,5,5,5,5,5,45,True
14,-,-,-,-,-,-,-,-,-,-1,False
16,0,0,0,0,0,0,1,2,0,3,False
17,4,3,0,5,0,5,3,3,5,28,True
18,0,0,0,0,0,0,0,1,3,4,False
20,-,-,-,-,-,-,-,-,-,-1,False
23,-,-,-,-,-,-,-,-,-,-1,False
24,5,5,5,5,5,5,2,5,5,42,True
25,4,3,5,0,4,4,5,4,3,32,True
26,0,0,0,0,0,1,1,0,4,6,False
27,2,5,0,4,3,0,4,0,2,20,False
28,-,-,-,-,-,-,-,-,-,-1,False
29,1,1,0,0,0,0,2,3,0,7,False
30,4,0,5,3,5,5,5,1,5,33,True
31,-,-,-,-,-,-,-,-,-,-1,False
32,0,0,0,0,1,0,3,0,0,4,False
33,0,0,0,0,0,0,0,0,0,0,False
34,-,-,-,-,-,-,-,-,-,-1,False
35,0,5,2,0,3,0,0,1,1,12,False
36,0,0,5,3,3,1,2,4,3,21,True
37,-,-,-,-,-,-,-,-,-,-1,False
38,5,5,5,4,5,5,2,4,0,35,True
40,-,-,-,-,-,-,-,-,-,-1,False
41,0,0,5,0,0,0,0,0,1,6,False
42,2,0,0,5,0,0,3,0,1,11,False
43,5,5,5,5,5,5,5,5,5,45,True
44,-,-,-,-,-,-,-,-,-,-1,False
45,5,5,5,5,5,5,2,5,3,40,True
47,-,-,-,-,-,-,-,-,-,-1,False
48,5,5,5,3,5,5,5,3,0,36,True
49,-,-,-,-,-,-,-,-,-,-1,False
