,Surname,Name,Club
0,Manuela,Faller,TSC Rot-Gold-Casino Nürnberg
1,Jörg,Gutmann,TC Rot-Weiss Casino Mainz
2,Dr.,Bechtold,Ann-Katrin casino blau-gelb essen
3,Laurens,Mechelke,TTC Carat Berlin
4,Volker,Günther,TSA d. TSV Schmiden
5,Gabor-Istvan,Hoffmann,TSZ Blau-Gold Casino Darmstadt
6,Werner,Becker,TSC Ostseebad Schönberg 1984
